post_id,title,link,content
25648775,交易商：印度7月份食用油进口量创历史新高,https://news.moomoo.com/post/25648775,五位交易商对路透表示，印度7月食用油进口量升至创纪录的176万吨，因炼厂在黑海供应不确定的情况下为即将到来的节日囤积库存。
25648821,Andavir (300719.SZ) plans to invest 505 million yuan to build an aviation equipment R&D and production base in Tianjin,https://news.moomoo.com/post/25648821,智通财经APP讯，安达维尔(300719.SZ)发布公告，公司基于当前市场环境，为满足战略规划需要，同意与天津港保税区管理委员会签订《投资合作协议》，拟在天津港保税区投资人民币5.05亿元，建设安达维尔天津航空装备研发生产基地，旨在扩大北京安达维尔科技股份有限公司在机载设备、航空维修、测控及地面保障设备研制、智能制造等主营业务的规模发展，借助天津港保税区航空产业集群优势，打造公司综合成本竞争力，提升公司的综合技术解决方案及服务能力，通过项目的实施形成公司京津一体化发展格局，将促进公司成为国内航空及防务领域的综合性一流供应商，从而实现公司业务持续战略增长。拟建项目计划总投资5.05亿元，分为两期建设。其中一期拟计划投资约3亿元，二期拟计划投资2.05亿元，拟建项目计划建设周期四年，力争三年内建设完成。
25648755,港股科网股尾盘持续下挫,https://news.moomoo.com/post/25648755,哔哩哔哩跌超7%，商汤、百度等集体走软。
25648822,Minglida (301268.SZ): “Mingli Convertible Bonds” will open a subscription on August 3,https://news.moomoo.com/post/25648822,智通财经APP讯，铭利达(301268.SZ)公告，公司本次发行总额为人民币10.00亿元可转换公司债券(“可转债”)，可转债简称为“铭利转债”，债券代码为“123215”。本次可转债发行原股东优先配售日与网上申购日同为2023年8月3日(T日)，申购时间为T日9:15-11:30，13:00-15:00。
25648734,艾力斯：目前已有两项伏美替尼与其他药物联用治疗的临床研究处于Ib/II期临床阶段,https://news.moomoo.com/post/25648734,艾力斯近期接受投资者调研时称，公司积极探索伏美替尼与其他药物的联合治疗，目前已有两项伏美替尼与其他药物联用治疗的临床研究处于Ib/II期临床阶段：一是伏美替尼与应世生物的FAK小分子抑制剂IN10018联合用药治疗晚期NSCLC；二是伏美替尼与荣昌生物的RC108抗体偶联药物联合用药治疗晚期NSCLC。
25648655,特斯拉推出暑期消费季促销活动,https://news.moomoo.com/post/25648655,2023上海浦东新区汽车暑期消费季活动火热进行中，包括特斯拉在内的不少汽企都推出促销活动。记者8月2日从特斯拉获悉，在2023年8月1日至2023年8月31日期间，通过上海特斯拉官方渠道下订并在上海注册登记的消费者，将有机会额外获得专属暑期消费礼遇3000元购物卡，限额3000名。同时，可享特斯拉引荐奖励，通过亲友的引荐链接下单订购Model 3或Model Y，即可赢得3500元引荐激励（抵扣车辆尾款）和90天增强版自动辅助驾驶功能免费试用；下单订购Model S或Model X，即可赢得7000元引荐激励（抵扣车辆尾款）和90天增强版自动辅助驾驶功能免费试用。（上证报）
25648650,分析师：美债需求将保持强劲 美国评级被降影响有限,https://news.moomoo.com/post/25648650,分析师们称，尽管惠誉下调美国信用评级可能会在短期内引发一些波动，但投资者仍将继续买入美国国债。 分析师们表示，对美债的需求可能会保持强劲，因为几乎没有什么足够大、足够安全的市场可以替代。他们补充说，美元最初的下跌料也不会持续。（环球市场播报）
25648617,中证金融科技主题指数强势收涨1.04%，金融科技ETF(159851)收涨1.13%,https://news.moomoo.com/post/25648617,截至2023年8月2日，上证指数收跌0.89%，报3261.69点；深证成指收跌0.35%，报11104.16点；创业板指收跌0.24%，报2218.57点，日内亏钱效应放大。两市总成交额8360.15亿元。盘面上看，摩托车及其他、数字媒体、工程机械，位居涨幅榜前三，分别上涨1.86%、1.47%、1.19%。国有大型银行、炼化及贸易、股份制银行，位居跌幅榜前三，分别下跌2.84%、2.45%、1.92%。ETF方面，截至收盘，华宝基金旗下涨幅前五的产品为金融科技ETF(159851)、地产ETF（159707）、券商ETF（512000）、智能电动车ETF（516380）、新材料ETF（516360），涨幅分别为1.13%、0.90%、0.83%、0.24%、0.22%。其中，金融科技ETF(159851)上涨1.13%，最新报价1.17元。收盘成交额已达2755.90万元，暂居可比ETF第一，换手率11.25%，市场交投活跃。拉长时间看，截至2023年8月2日，金融科技ETF近1周累计上涨5.32%，涨幅排名可比基金第一名。从资金净流入方面来看，金融科技ETF近4天获得连续资金净流入，最高单日获得1445.21万元净流入，合计“吸金”2588.93万元，日均净流入达647.23万元。规模方面，金融科技ETF最新规模达2.43亿元，创近1月新高，位居可比基金第一名。金融科技ETF紧密跟踪中证金融科技主题指数，中证金融科技主题指数从沪深市场中选取产品与服务涉及金融科技相关领域的上市公司证券作为指数样本，以反映沪深市场金融科技主题上市公司证券的整体表现。数据显示，中证金融科技主题指数(930986)前十大权重股分别为东方财富(300059)、恒生电子(600570)、同花顺(300033)、润和软件(300339)、新大陆(000997)、广电运通(002152)、指南针(300803)、拓尔思(300229)、中科软(603927)、拉卡拉(300773)，前十大权重股合计占比53.57%。 本条资讯由AI生成，内容与数据仅供参考，不构成投资建议。 
25648534,惠州市：提高高层次人才贷款最高额度 最高贷款额度为100万元,https://news.moomoo.com/post/25648534,惠州市住房公积金管理委员会印发《惠州市住房公积金管理委员会关于惠州市高层次人才住房公积金优惠政策实施办法》。其中提出，提高贷款最高额度。Ⅰ类人才在我市购买首套、二套自住住房，住房公积金贷款的最高贷款额度为100万元；夫妻双方合计最高贷款额度为150万元。
25648552,格隆汇8月2日丨Atlantic Equities：将高盛评级从减持上调至中性。,https://news.moomoo.com/post/25648552,格隆汇8月2日丨Atlantic Equities：将高盛评级从减持上调至中性。
